Feature ID,Feature area,Feature,Description,Exact Yoast version,Free Premium extension or uncertain,Default enabled state,Yoast UI location,User roles allowed,Inputs,Stored data,Generated output,Runtime behavior,Analysis or scoring rules,Language limitations,Relevant API or hook,Official documentation,Source path or test,Black-box verification,EmDash current equivalent,Gap,Direct parity adapted equivalent not applicable or excluded,Recommended implementation,Dependencies,Risks,Acceptance criteria,Confidence,Open questions
YF-A01,Installation,First-time configuration wizard,Onboarding after activation,28.0,Free,On activation,WP Admin > Yoast SEO,Administrator,Site basics,wp_options,N/A,Redirects to settings,N/A,N/A,wpseo_install,https://yoast.com/help/configuration-guide-for-yoast-seo/,src/initializers/,Source-only,None,No onboarding,Adapted equivalent,Extend SetupWizard,SetupWizard,Low,SEO checklist on install,Medium,
YF-B01,Site features,SEO analysis toggle,Enable SEO analysis,28.0,Free,On,Settings > Site features,Administrator,keyword_analysis_active,wp_options,N/A,17 SEO checks,SCORING SEO.md,22 langs,wpseo_feature_toggles,https://yoast.com/help/yoast-seo-settings-site-features/,class-yoast-feature-toggles.php:70,Source verified,None,No engine,Direct parity required,yoastseo SEOAssessor,Slice 5,Medium,Toggle works,High,
YF-B02,Site features,Readability analysis toggle,Enable readability,28.0,Free,On,Settings > Site features,Administrator,content_analysis_active,wp_options,N/A,7 checks,SCORING READABILITY.md,6 full langs,wpseo_feature_toggles,https://yoast.com/help/yoast-seo-settings-site-features/,class-yoast-feature-toggles.php:78,Source verified,None,No readability,Direct parity required,ContentAssessor,Slice 6,Medium,,High,
YF-B03,Site features,Inclusive language toggle,Inclusive language analysis,28.0,Free,Off default,Settings > Site features,Administrator,inclusive_language_analysis_active,wp_options,N/A,~220 rules,SCORING INCLUSIVE LANGUAGE.md,en only,wpseo_feature_toggles,https://yoa.st/inclusive-language-features-free,class-yoast-feature-toggles.php:86,Source verified,None,No IL analysis,Direct parity required,inclusive assessor,Slice 7,Medium,,High,
YF-B07,Site features,Link suggestions,Internal linking suggestions,28.0,Premium,Off,Settings > Site features,Editor+,enable_link_suggestions,N/A,Suggestions,Premium only,N/A,N/A,https://yoa.st/4ev,class-yoast-feature-toggles.php:121,Source verified,None,Premium,Excluded,Future extension,N/A,Low,Not in parity,High,,
YF-B11,Site features,IndexNow,Ping search engines,28.0,Premium,Premium,Settings,Administrator,enable_index_now,N/A,Pings,Premium,N/A,N/A,https://yoa.st/index-now-read-more,class-yoast-feature-toggles.php:191,Source verified,None,Premium,Excluded,N/A,N/A,Low,,High,,
YF-B12,Site features,AI title generator,AI SEO fields,28.0,Premium,Premium,Settings,Administrator,enable_ai_generator,N/A,AI text,Remote,N/A,N/A,https://yoa.st/ai-generator-read-more,class-yoast-feature-toggles.php:202,Source verified,None,Premium,Excluded,N/A,N/A,Low,,High,,
YF-H01,SEO analysis,Keyphrase in introduction,Free SEO check: Keyphrase in introduction,28.0,Free,When SEO on,Editor SEO tab,Editor+,keyphrase+content+meta,N/A,Feedback+score,Worker,IntroductionKeywordAssessment,Per language,yoastseo,https://developer.yoast.com/features/analysis/overview/,assessments/seo/IntroductionKeywordAssessment.js,Source verified,None,Missing,Direct parity required,IntroductionKeywordAssessment,Slice 5,Medium,Fixture match,High,
YF-H02,SEO analysis,Keyphrase length,Free SEO check: Keyphrase length,28.0,Free,When SEO on,Editor SEO tab,Editor+,keyphrase+content+meta,N/A,Feedback+score,Worker,KeyphraseLengthAssessment,Per language,yoastseo,https://developer.yoast.com/features/analysis/overview/,assessments/seo/KeyphraseLengthAssessment.js,Source verified,None,Missing,Direct parity required,KeyphraseLengthAssessment,Slice 5,Medium,Fixture match,High,
YF-H03,SEO analysis,Keyphrase density,Free SEO check: Keyphrase density,28.0,Free,When SEO on,Editor SEO tab,Editor+,keyphrase+content+meta,N/A,Feedback+score,Worker,KeyphraseDensityAssessment,Per language,yoastseo,https://developer.yoast.com/features/analysis/overview/,assessments/seo/KeyphraseDensityAssessment.js,Source verified,None,Missing,Direct parity required,KeyphraseDensityAssessment,Slice 5,Medium,Fixture match,High,
YF-H04,SEO analysis,Keyphrase in meta description,Free SEO check: Keyphrase in meta description,28.0,Free,When SEO on,Editor SEO tab,Editor+,keyphrase+content+meta,N/A,Feedback+score,Worker,MetaDescriptionKeywordAssessment,Per language,yoastseo,https://developer.yoast.com/features/analysis/overview/,assessments/seo/MetaDescriptionKeywordAssessment.js,Source verified,None,Missing,Direct parity required,MetaDescriptionKeywordAssessment,Slice 5,Medium,Fixture match,High,
YF-H05,SEO analysis,Meta description length,Free SEO check: Meta description length,28.0,Free,When SEO on,Editor SEO tab,Editor+,keyphrase+content+meta,N/A,Feedback+score,Worker,MetaDescriptionLengthAssessment,Per language,yoastseo,https://developer.yoast.com/features/analysis/overview/,assessments/seo/MetaDescriptionLengthAssessment.js,Source verified,None,Missing,Direct parity required,MetaDescriptionLengthAssessment,Slice 5,Medium,Fixture match,High,
YF-H06,SEO analysis,Keyphrase in subheadings,Free SEO check: Keyphrase in subheadings,28.0,Free,When SEO on,Editor SEO tab,Editor+,keyphrase+content+meta,N/A,Feedback+score,Worker,SubHeadingsKeywordAssessment,Per language,yoastseo,https://developer.yoast.com/features/analysis/overview/,assessments/seo/SubHeadingsKeywordAssessment.js,Source verified,None,Missing,Direct parity required,SubHeadingsKeywordAssessment,Slice 5,Medium,Fixture match,High,
YF-H07,SEO analysis,Competing links,Free SEO check: Competing links,28.0,Free,When SEO on,Editor SEO tab,Editor+,keyphrase+content+meta,N/A,Feedback+score,Worker,TextCompetingLinksAssessment,Per language,yoastseo,https://developer.yoast.com/features/analysis/overview/,assessments/seo/TextCompetingLinksAssessment.js,Source verified,None,Missing,Direct parity required,TextCompetingLinksAssessment,Slice 5,Medium,Fixture match,High,
